Judul,judul_proc
DETEKSI KOMUNITAS PADA JARINGAN INTERAKSI AKUN INSTAGRAM BISNIS MENGGUNAKAN ALGORITMA LOUVAIN,deteksi komunitas jaring interaksi akun instagram bisnis guna algoritma louvain
EVALUASI MODEL EXPONENTIAL GENERALIZED AUTOREGRESSIVE CONDITIONAL HETEROSKEDASTICITY (EGARCH) PADA PERAMALAN VOLATILITAS INFLASI INDONESIA,evaluasi model exponential generalized autoregressive conditional heteroskedasticity egarch amal volatilitas inflasi indonesia
ANALISIS SENTIMEN MENGGUNAKAN METODE INDOBERT TERHADAP ULASAN TEMPAT WISATA DI LOMBOK PADA GOOGLE MAPS,analisis sentimen guna metode indobert ulas tempat wisata lombok google maps
IMPLEMENTASI BIDIRECTIONAL LSTM TERHADAP OPINI PUBLIK MENGENAI PROGRAM MAKAN BERGIZI GRATIS (MBG) PADA APLIKASI X,implementasi bidirectional lstm opini publik kena program makan gizi gratis mbg aplikasi
PENGARUH METODE PENINGKATAN KONTRAS PADA KLASIFIKASI DATA SCAN MRI TUMOR OTAK MENGGUNAKAN MODEL CONVOLUTIONAL NEURAL NETWORK (CNN) MELALUI TRANSFER LEARNING EFFICIENTNET-B0,pengaruh metode tingkat kontras klasifikasi data scan mri tumor otak guna model convolutional neural network cnn lalu transfer learning efficientnet
PENERAPAN MODEL ARIMA (AUTOREGRESSIVE INTEGRATED MOVING AVERAGE) DENGAN INTERVENSI FUNGSI PULSE UNTUK PERAMALAN ANGKA KECELAKAAN DI KABUPATEN TANGERANG,terap model arima autoregressive integrated moving average intervensi fungsi pulse amal angka celaka kabupaten tangerang
PERAMALAN HARGA CABAI MERAH KERITING DI PASAR TRADISIONAL KOTA BANDAR LAMPUNG MENGGUNAKAN NEURALPROPHET,amal harga cabai merah keriting pasar tradisional kota bandar lampung guna neuralprophet
PENERAPAN MODEL INDOBERT PADA ULASAN APLIKASI KESEHATAN (STUDI KASUS : APLIKASI KESEHATAN DI GOOGLE PLAY STORE),terap model indobert ulas aplikasi sehat studi kasus aplikasi sehat google play store
PENERAPAN MODEL CONVOLUTION NEURAL NETWORK MENGGUNAKAN TRANSFER LEARNING DENGAN ARSITEKTUR INCEPTION V3 DALAM KLASIFIKASI PENYAKIT DAUN CABAI,terap model convolution neural network guna transfer learning arsitektur inception klasifikasi sakit daun cabai
ANALISIS PENGELOMPOKAN TINGKAT KRIMINALITAS DI INDONESIA MENGGUNAKAN FUZZY C MEANS,analisis kelompok tingkat kriminalitas indonesia guna fuzzy means
ANALISIS PERFORMA MODEL CNN ARSITEKTUR CONVNEXT UNTUK KLASIFIKASI PENYAKIT PNEUMONIA BERDASARKAN CITRA X-RAY DADA,analisis performa model cnn arsitektur convnext klasifikasi sakit pneumonia dasar citra ray dada
PERAMALAN CURAH HUJAN PER BULAN DI KOTA BANDAR LAMPUNG MENGGUNAKAN ARIMA   ,amal curah hujan per bulan kota bandar lampung guna arima
PREDIKSI TEMPERATUR UDARA HARIAN DI KOTA  BANDAR LAMPUNG MENGGUNAKAN TEMPORAL  FUSION TRANSFORMER (TFT),prediksi temperatur udara hari kota bandar lampung guna temporal fusion transformer tft
ANALISIS PERBANDINGAN PERFORMA MODEL KLASIFIKASI TRANSFER LEARNING CONVOLUTIONAL NEURAL NETWORK TUMOR OTAK MENGGUNAKAN CITRA MAGNETIC RESONANCE IMAGING (MRI),analisis banding performa model klasifikasi transfer learning convolutional neural network tumor otak guna citra magnetic resonance imaging mri
PREDIKSI HARGA PENUTUPAN NIKEL DI LME DAN SHFE MENGGUNAKAN MODEL GRU DENGAN GRID SEARCH,prediksi harga tutup nikel lme shfe guna model gru grid search
DETEKSI KOMUNITAS AKTOR BERDASARKAN KOLABORASI DENGAN SUTRADARA DAN KESAMAAN GENRE MENGGUNAKAN ALGORITMA LOUVAIN,deteksi komunitas aktor dasar kolaborasi sutradara sama genre guna algoritma louvain
PREDIKSI NILAI TUKAR MATA UANG RIYAL ARAB SAUDI (SAR) TERHADAP RUPIAH INDONESIA (IDR) DENGAN METODE GATED RECURRENT UNIT (GRU),prediksi nilai tukar mata uang riyal arab saudi sar rupiah indonesia idr metode gated recurrent unit gru
PERBANDINGAN PENGGUNAAN RANDOM FOREST DAN ADABOOST RANDOM FOREST DALAM KLASIFIKASI GEMPA BUMI DI INDONESIA BERDASARKAN KEDALAMAN,banding guna random forest adaboost random forest klasifikasi gempa bumi indonesia dasar dalam
